;gender;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;email;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;phone;cell;id.name;id.value;picture.large;picture.medium;picture.thumbnail;nat
0;male;Mr;Paul;Green;9105;Lovers Ln;Busselton;Queensland;Australia;6216;57.4165;-40.0807;+9:30;Adelaide, Darwin;paul.green@example.com;c5ee7473-f121-4007-bc6c-207d7b555562;happyrabbit229;roberta;8fjfaaBQ;27e138ad175bc8cb7a173a9494e31fc9;13cb30659fc137cd95b636a3a03b6a0d009d8d0c;a6c183e0e4e1c67e9fe1f7a40af49fef208286728242b310404c7cf2d8850d94;1946-05-05T19:36:31.055Z;76;2011-11-14T16:05:35.236Z;10;47-333-3315;40-386-6688;TFN;709124652;https://randomuser.me/api/portraits/men/82.jpg;https://randomuser.me/api/portraits/med/men/82.jpg;https://randomuser.me/api/portraits/thumb/men/82.jpg;AU
1;female;Ms;Lizaine;Teixeira;7209;Avenida da Democracia;Patos de Minas;Bahia;Brazil;88673;6.8867;-177.5927;-5:00;Eastern Time (US & Canada), Bogota, Lima;lizaine.teixeira@example.com;5da9bddb-1e23-46a9-893b-9fe4b0a2d12a;purplefrog614;kevin1;fiNh1aX8;8667ae7eb251da528d1a99e22e554cb4;a59637035d58a9e6ee7991530e88c90bd0ee6116;f81839a88ed1e214f94b447179cdd35dc823e282641cd03fc0d46e80616209a5;1951-09-22T01:21:30.735Z;71;2012-12-11T03:14:08.086Z;9;971-278-7054;865-701-4150;CPF;268.352.380-48;https://randomuser.me/api/portraits/women/47.jpg;https://randomuser.me/api/portraits/med/women/47.jpg;https://randomuser.me/api/portraits/thumb/women/47.jpg;BR
2;female;Mrs;Jasmine;Ross;5877;22nd Ave;Hudson;Manitoba;Canada;B4L 7I2;-67.1822;122.1479;+7:00;Bangkok, Hanoi, Jakarta;jasmine.ross@example.com;0cf8a591-87ec-414c-ac08-7ea9b1162913;whiteleopard239;keith;KVFSir4E;b89784d0761e2b3bda529f6fcd94d467;8f062354e188d3368b49748532a73f80b9f68a11;20a2b33a190be3f8afb4b54898e3ec285cfd5281a4fb2f78dccf8b75a25f870d;1962-06-13T10:30:21.919Z;60;2015-11-22T21:45:42.893Z;6;1-757-9275;8-678-8916;SIN;327886438;https://randomuser.me/api/portraits/women/16.jpg;https://randomuser.me/api/portraits/med/women/16.jpg;https://randomuser.me/api/portraits/thumb/women/16.jpg;CA
3;female;Mrs;Maeva;Mitchell;2342;Dieppe Ave;Wellington;Nunavut;Canada;A2J 2Q0;29.8376;135.3165;+3:00;Baghdad, Riyadh, Moscow, St. Petersburg;maeva.mitchell@example.com;4836d16d-8f9c-45d9-8727-9c8b24e78f82;yellowfish290;daddyo;Fw5r2SX8;44eb1793eb8649ed6792240caec6b90e;d38a4f9e99cc97eacf4015ebc03a84d96f878464;375b6ce3dd759a28bef28f11fe513438d526873e8bc2553b1e0afbd080d2a816;1970-10-30T23:10:51.196Z;51;2013-05-14T06:35:19.643Z;9;7-037-6962;7-424-0279;SIN;627754468;https://randomuser.me/api/portraits/women/89.jpg;https://randomuser.me/api/portraits/med/women/89.jpg;https://randomuser.me/api/portraits/thumb/women/89.jpg;CA
4;male;Mr;Ron;Little;1803;Valley View Ln;Chicago;Washington;United States;13091;-33.5545;64.0165;-10:00;Hawaii;ron.little@example.com;221b88bf-4b83-4da7-bdef-2a28f774ce30;organicostrich272;fick;rPWTfp5m;9343355260ad8f8591fd9f36a892dd30;9b0ba5527316812e5cafbc59af81a69a6a8c9c3a;4899ee060ad81ccf1d9befc006ecd345d2875d55a231f168fcafda6508647aa9;1970-01-27T06:13:58.771Z;52;2006-02-05T09:47:13.754Z;16;616-938-5786;654-667-3440;SSN;387-43-1269;https://randomuser.me/api/portraits/men/61.jpg;https://randomuser.me/api/portraits/med/men/61.jpg;https://randomuser.me/api/portraits/thumb/men/61.jpg;US
5;female;Mrs;Becky;Kelley;6279;Central St;Toowoomba;South Australia;Australia;8528;88.7599;-53.6644;-7:00;Mountain Time (US & Canada);becky.kelley@example.com;4ae66a88-32e1-49bc-bd1c-632ad4027edd;happybird502;poiu;BXB9Rd40;8e223cfc7ba0c0477268fd19608b4432;6e25403d8dc9c07f5ec66dea7c3219ac9cafc53d;dab205f906fafc900ade4f3725db2860ac32ed981b1a928b21c86d6c5a314bae;1968-08-16T21:48:07.555Z;54;2012-09-24T15:40:29.725Z;10;29-978-5331;47-999-6617;TFN;465928850;https://randomuser.me/api/portraits/women/27.jpg;https://randomuser.me/api/portraits/med/women/27.jpg;https://randomuser.me/api/portraits/thumb/women/27.jpg;AU
6;male;Mr;Manuel;Alves;1411;Rua Principal;Ourinhos;Paraná;Brazil;50194;63.6787;-178.0629;-2:00;Mid-Atlantic;manuel.alves@example.com;e4fedcd9-2f0d-42cd-bf00-1aa40f1b1367;browngorilla122;pajero;zijF2CyE;b7b2adfde60d5cf6688572133498cee3;16f883daa22f038dd5035a0eb51f48163b7f0d9e;c0437462f0739a88edc7a60675722c93413c4ffc8c00ed7fc7d0274105383506;1974-06-04T17:09:34.405Z;48;2019-07-19T20:02:18.646Z;3;949-778-7124;468-711-7157;CPF;096.212.606-00;https://randomuser.me/api/portraits/men/83.jpg;https://randomuser.me/api/portraits/med/men/83.jpg;https://randomuser.me/api/portraits/thumb/men/83.jpg;BR
7;male;Mr;Dominic;Lo;136;Balmoral St;Melbourne;Prince Edward Island;Canada;J4Z 4L7;89.3453;39.3182;+7:00;Bangkok, Hanoi, Jakarta;dominic.lo@example.com;d359b8ae-a9a9-480b-9550-5454cdda76d0;brownlion485;waffle;QkbdSKST;ecd4ed279f45d7fef5af2a11cd692991;d0bb178ebbd2c8f2633de70b6ea9a6a4152eaa89;8a52f9952bdace3c2f52d2b54f837ad1b0165a909c9738186d496a35b99c9c72;1962-03-27T10:13:26.323Z;60;2003-08-05T02:52:10.299Z;19;368-7516;8-474-8939;SIN;240363838;https://randomuser.me/api/portraits/men/49.jpg;https://randomuser.me/api/portraits/med/men/49.jpg;https://randomuser.me/api/portraits/thumb/men/49.jpg;CA
8;male;Mr;Claude;Ward;2883;Eason Rd;Roanoke;Georgia;United States;40444;-2.9219;-25.0116;+4:00;Abu Dhabi, Muscat, Baku, Tbilisi;claude.ward@example.com;c537fba5-835f-48b8-9e4d-bcf4f4378eeb;brownleopard876;manutd;4ng0U6kh;539f5df78b501087d689ff63ec2b04ed;d7808a3b1c5862c3706576686cf7ad1f10e6bc5b;ae3f21bc7fb8d77a4cf248d4d6413936889cf0f00d7e5831796da232d84da205;1947-01-11T07:10:20.885Z;75;2009-01-28T15:15:04.809Z;13;291-620-0457;599-621-6310;SSN;022-13-0966;https://randomuser.me/api/portraits/men/89.jpg;https://randomuser.me/api/portraits/med/men/89.jpg;https://randomuser.me/api/portraits/thumb/men/89.jpg;US
9;female;Miss;Anne;Jordan;6033;Valley View Ln;Minneapolis;Wisconsin;United States;38624;-85.3262;175.7369;+1:00;Brussels, Copenhagen, Madrid, Paris;anne.jordan@example.com;4bafa3cb-6f47-403c-aa11-9406609f08d1;smallbutterfly343;housewife;qroAU2iT;9d0178c232da412ddf276cfd29207e7e;f08e233dc178de809fc2e9d67ae35f834f71e964;4203af784a8591e011b09b4a18d6cc7070077c8c11bf2dea6f0a90cdc880c365;1953-09-25T15:16:26.068Z;69;2006-06-24T16:02:23.674Z;16;422-732-4679;888-886-7398;SSN;356-53-4585;https://randomuser.me/api/portraits/women/73.jpg;https://randomuser.me/api/portraits/med/women/73.jpg;https://randomuser.me/api/portraits/thumb/women/73.jpg;US
